date,AQI,??,level,pm,PM10,SO2,CO,NO2,O3,??
1/5/2017,275,208~355,highly polluted,223.3,282.5,15.6,5.417,110.6,14,0
1/6/2017,247,220~274,highly polluted,196.6,190.4,24.8,4.279,107.5,25,0
1/7/2017,216,143~274,highly polluted,169.5,128.5,18.5,3.283,83.8,12,0
1/8/2017,56,18~190,fine,39,24.9,10.2,1.029,36.6,61,0
1/9/2017,49,15~158,good,33.3,46.1,6.5,0.738,37.9,53,0
1/10/2017,42,15~99,good,25.1,42.5,7,0.658,35,67,0
1/11/2017,81,33~103,fine,59,84.3,19.1,1.639,75.5,30,0
1/12/2017,62,28~147,fine,41.5,61.2,12.6,0.913,50.7,73,0
1/13/2017,23,10~30,good,8.3,21.3,5.2,0.388,21.4,75,0
1/14/2017,35,18~82,good,18.8,38,10.7,0.813,44.3,58,0
1/15/2017,71,45~114,fine,50.8,69.2,10.9,0.979,49.3,36,0
1/16/2017,122,88~160,slightly polluted,92.3,107.5,17.8,1.7,67,10,0
1/17/2017,179,152~217,median polluted,135.9,149,21.3,2.135,73.7,29,0
1/18/2017,55,32~132,fine,38.9,53.3,10.5,0.842,51.1,46,0
1/19/2017,85,21~140,fine,47.2,90.7,14,1.192,39,67,0
1/20/2017,37,18~93,good,22,35.9,8.6,0.717,34,63,0
1/21/2017,52,19~104,fine,26.8,50.6,10,0.792,31,73,0
1/22/2017,36,18~85,good,24.6,36,11.4,0.817,41.6,53,0
1/23/2017,47,22~115,good,32.8,44.2,13.3,0.979,47.4,53,0
1/24/2017,116,59~188,slightly polluted,87,101.5,28.8,2.083,75.5,33,0
1/25/2017,223,186~299,highly polluted,173.2,187.4,39.6,3.271,93.9,38,0
1/26/2017,204,21~347,highly polluted,162.6,197.8,26.8,2.7,65,76,0
1/27/2017,84,10~371,fine,63.1,91.9,21.5,0.729,29.1,84,0
1/28/2017,367,270~500,heavily polluted,348.6,433.3,85.2,2.65,70.7,33,0
1/29/2017,78,21~312,fine,40.6,76.3,11.3,0.746,17.6,73,0
1/30/2017,41,16~109,good,25.8,32.9,10.2,0.571,20.7,82,0
1/31/2017,106,32~127,slightly polluted,79,90.8,28.3,1.292,42.8,68,0
